Day,AMPM,Time,Activity,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
2,PM,2:45-5:00,checkin,1,1,1,1,1,1,1,1,1,1,1,1
2,PM,5:00-6:30,dinner,1,1,1,1,1,1,1,1,1,1,1,1
2,PM,6:30-7:00,team,1,1,1,1,1,1,1,1,1,1,1,1
2,PM,7:15-8:30,intro,1,1,1,1,1,1,1,1,1,1,1,1
3,PM,5:00-6:30,dinner,1,1,1,1,1,1,1,1,1,1,1,1
3,AM,10:00-10:30,coffee,1,1,1,1,1,1,1,1,1,1,1,1
3,PM,2:30-2:45,coffee,1,1,1,1,1,1,1,1,1,1,1,1
3,PM,12:00-12:45,lunch,1,1,1,1,1,1,1,1,1,1,1,1
3,PM,7:15-9:00,talk1,1,1,1,1,1,1,1,1,1,1,1,1
4,PM,5:00-6:30,dinner,1,1,1,1,1,1,1,1,1,1,1,1
4,AM,10:00-10:30,coffee,1,1,1,1,1,1,1,1,1,1,1,1
4,PM,2:30-2:45,coffee,1,1,1,1,1,1,1,1,1,1,1,1
4,PM,12:00-1:00,lunch,1,1,1,1,1,1,1,1,1,1,1,1
4,PM,7:15-9:00,talk2,1,1,1,1,1,1,1,1,1,1,1,1
5,PM,5:00-6:30,dinner,1,1,1,1,1,1,1,1,1,1,1,1
5,AM,10:00-10:30,coffee,1,1,1,1,1,1,1,1,1,1,1,1
5,PM,2:30-2:45,coffee,1,1,1,1,1,1,1,1,1,1,1,1
5,PM,12:00-1:00,lunch,1,1,1,1,1,1,1,1,1,1,1,1
5,PM,7:15-8:00,Off,1,1,1,1,1,1,1,1,1,1,1,1
6,PM,5:00-6:30,dinner,1,1,1,1,1,1,1,1,1,1,1,1
6,AM,10:00-10:30,coffee,1,1,1,1,1,1,1,1,1,1,1,1
6,PM,2:30-2:45,coffee,1,1,1,1,1,1,1,1,1,1,1,1
6,PM,12:00-1:00,lunch,1,1,1,1,1,1,1,1,1,1,1,1
6,PM,7:15-8:30,talk3,1,1,1,1,1,1,1,1,1,1,1,1
7,PM,5:00-6:30,dinner,1,1,1,1,1,1,1,1,1,1,1,1
7,AM,10:00-10:30,coffee,1,1,1,1,1,1,1,1,1,1,1,1
7,PM,2:30-2:45,coffee,1,1,1,1,1,1,1,1,1,1,1,1
7,PM,12:00-1:00,lunch,1,1,1,1,1,1,1,1,1,1,1,1
7,PM,7:15-8:30,talk4,1,1,1,1,1,1,1,1,1,1,1,1
8,AM,10:00-10:30,coffee,1,1,1,1,1,1,1,1,1,1,1,1
8,PM,2:30-2:45,coffee,1,1,1,1,1,1,1,1,1,1,1,1
8,PM,12:00-1:00,lunch,1,1,1,1,1,1,1,1,1,1,1,1
8,PM,5:15-8:15,wrapup,1,1,1,1,1,1,1,1,1,1,1,1
9,AM,10:00-10:30,depart,1,1,1,1,1,1,1,1,1,1,1,1
