field,name_to_use
All fields,All fields
Biological and biomedical sciences,Biomedical sciences
"Biological, biomedical sciences",Biomedical sciences
"Anatomy, developmental biology",Developmental biology
Biochemistry,Biochemistry
Biochemistry (biological sciences),Biochemistry
Bioinformatics,Bioinformatics
Biometrics and biostatistics,Biostatistics
Biophysics (biological sciences),Biophysics
Biophysics (biology),Biophysics
Cancer biology,Cancer biology
"Cell, cellular biology, and histology",Cell biology
Cell/cellular biology and histology,Cell biology
Computational biology,Computational biology
Ecology,Ecology
Epidemiology,Epidemiology
Evolutionary biology,Evolutionary biology
Immunology,Immunology
"Medical physics, radiological science",Medical physics
Medical physics/radiological science,Medical physics
Microbiology,Microbiology
Molecular biology,Molecular biology
"Molecular biology, medicine",Molecular biology
Neurosciences and neurobiology,Neurosciences
"Neurosciences, neurobiology",Neurosciences
Structural biology,Structural biology
Zoology,Zoology
